vuosi, vanha_nimi, uusi_nimi,	muuta
1920, Salo Ol, Pattijokilähde, ?
1921, Kristiinankaupungin maalaiskunta, Tiukka
1923, Muonionniska, Muonio
1927, Kokkolan maalaiskunta, Kaarlela
1936, Kuolajärvi, Salla
1936, Uusikirkko Tl, Kalanti
1913, Kovero, Tuupovaaralähde, ?
1936, Uusikirkko Vl, Uusikirkko, (ainoa Uusikirkko-niminen kunta Uusikirkko Tln nimenvaihdoksen jälkeen)
1937, Kuhmoniemi, Kuhmo
1938, Etelä-Pirkkala, Pirkkala
1938, Pieksämä, Pieksämäkilähde, ?
1938, Pohjois-Pirkkala, Nokia
1949, Grankulla, Kauniainen, (annettu suomenkielinen nimi)
1949, Turtola, Pello
1952, Hongonjoki, Honkajoki
1954, Säräisniemi, Vaala
1968, Kuusjärvi, Outokumpu
1969, Pyhäjärvi Ol, Pyhäjärvi, (Pyhäjärvi Uln lakkauttamisen jälkeen ainoa Pyhäjärvi-niminen kunta)
1972, Helsingin maalaiskunta, Vantaa
1972, Ikaalisten maalaiskunta, Ikaalinen, (samalla Ikaalisten epäitsenäinen kauppala lakkautettiin ja koko Ikaalisista tuli itsenäinen kauppala)
1972, Vestanfjärd, Västanfjärd
1975, Sippola, Anjalankoski, (samalla kuntaliitos)
1978, Lohjan maalaiskunta, Lohjan kunta
1978, Loimaan maalaiskunta, Loimaan kunta
1979, Kemin maalaiskunta, Keminmaa
1989, Pietarsaaren maalaiskunta, Pedersören kunta
1993, Pyhäjärvi, Pyhäsalmi
1995, Koski Hl, Hämeenkoski
1996, Pyhäsalmi, Pyhäjärvi, (vanhaan nimeen palaaminen)
2012, Länsi-Turunmaa, Parainen, (kuntaliitoksen jälkeinen nimenmuutos)
NA, Airanne, Urjala
NA, Alanne, Suomussalmi
NA, Hulkonniemi, Suomussalmi
NA, Kianto, Suomussalmi
NA, Askula, Askolalähde, ?
NA, Degerby, Loviisa
NA, Eura, Tarvasjoki
NA, Eurainen, Tarvasjoki
NA, Haapajärvi, Haapavesi
NA, Haapala, Kerimäki
NA, Haapaniemi, Temmes
NA, Hatialahti, Kuolemajärvi
NA, Jokijärvi, Taivalkoski
NA, Joukio, Parikkala
NA, Koitsanlahti, Parikkala
NA, Jukainen, Juva
NA, Kakki, Johanneslähde, ?
NA, Kalainen, Uusikaupunki
NA, Kasurila, Siilinjärvilähde, ?
NA, Kirveskoski, Pornainen
NA, Kivimaa, Kustavi
NA, Koppöstad, Kristiinankaupunki
NA, Koskipää, Hartolalähde, ?
NA, Kuivasmäki, Petäjävesi
NA, Kuninkaanjoki, Soinilähde, ?
NA, Kyrö, Isokyrö
NA, Kömi, Konginkangas
NA, Lahtinen, Ii
NA, Lapuanjoensuu, Uusikaarlepyy
NA, Lapvesi, Lappee
NA, Luoto, Hailuoto
NA, Längelmä, Längelmäki
NA, Matkaniva, Oulainen
NA, Mustasaari, Vaasa
NA, Nummi, Kaarina
NA, Nikolainkaupunki, Vaasa
NA, Oulujärvi, Paltamo
NA, Palva, Velkua
NA, Palvasalmi, Saarijärvi
NA, Panelia, Kiukainen
NA, Rantua, Kiukainen
NA, Pento, Kuhmalahti
NA, Perttula, Ypäjä
NA, Peräkulma, Mellilä
NA, Perä, Mellilä
NA, Pidisjärvi, Nivalalähde, ?
NA, Pohjankylä, Suodenniemi
NA, Porras, Tammela
NA, Prunkkala, Aura
NA, Punkalaitio, Punkalaidunlähde, ?
NA, Pyhämaan Luoto, Pyhämaa
NA, Pyhämaan Rohdainen, Pyhäranta
NA, Ranta, Viipurin pitäjälähde, ?
NA, Rauma, Himanka
NA, Rutakko, Sonkajärvi
NA, Räntämäki, Maaria
NA, Saastmala, Karkku
NA, Sakkula, Sakkola
NA, Salo, Saloinen
NA, Savijoki, Pukkila
NA, Savilahti, Mikkelin maalaiskunta, ?
NA, Sonkinsaari, Vesanto
NA, Suonnejoki, Suonenjokilähde, ?
NA, Taipale, Taipalsaari
NA, Tavinsalmi, Kuopion pitäjälähde, ?
NA, Tervajärvi, Teerijärvi
NA, Tolkijärvi, Vesikansa Tottijärvi
NA, Vehkalahti, Hamina
NA, Vesikansa, Kangaslampi
NA, Vesikansa, Luopioinen
NA, Vintala, Vimpeli
NA, Ylistaro, Koski Tl, ?
NA, Ylistaro, Somerniemi
NA, Naara, Somerniemi
NA, Ylistaro, Somerniemilähde, ?
NA, Yliveteli, Vetelilähde, ?
NA, Äyräpää, Muolaalähde
NA, Pyhäristi, Muolaalähde, ?
NA, Ätsäri, Ähtäri, Meeri
NA, Kuusluoto, Kuusisto, Meeri

https://fi.wikipedia.org/wiki/Luettelo_Suomen_kuntien_nimenmuutoksista